Игрок законектился |Player Connected
 Вышел из игры| Player Leaved
Синяя|Red
Красная|Blue
 команда Выграла| Team Win
Зомби|Zombie
Уровень|Level
Фраги |Frags
Очки |Score 
Демо|Demo
Город|City
Замедление времени, нажми Т чтобы использовать|Time Warp, Press T to use
Чтобы взять фанарик нажми F|Take SpotLight
Чтобы купить лазерный прицел нажми F|Take Laser aim
Чтобы использовать лавушку нажми F|Trap
Чтобы использовать лифт нажми F|elevator
Нажми F чтобы купить |Press F to buy
Ускоряет шар|Speed up
Нажми F чтобы взять деньги|Take money
Выбери гравипушку и стреляй по етому предмету|Jumper
Чтобы купить енергию нажми F|To buy energy press F
Ваш ник слишком короток|Your nick is to short
Название игры слишком короткое|Game name is to short
 Убил себя | Killed self 
 Убил | kill 
 Умер | died 
Вы умерли дожив до {0} раунда|You survived until {0} level.
Выбрать команду|Select Team
Ирк Чат|Irc Chat
Опции|Options
Выйти|Exit
       Имя_Игрока               Команда   Очки   Фраги Смерти  Фпс   Пинг|       Player Name              Team      Score  Frags Deaths  FPS   Ping
Таблиьа очков|Scores
Зомби Выживание|Zombie Survive
Зомби Командная игра|Zombie Team Game
Выживание|DeathMatch
Командная игра|Team Game
Название Сервера|Server Name
Порт|Port
Игроков|Players
Лимит Фрагов|Frag Limit
Лимит времени|Time Limit
Создание Сервера|Create Server
Режим Игры|Game Type
Карта|Map
Создать|Create
Войти как гость|Join as Guest
Вход Вконтакте|Vkontakte Join
Имя|Name
Вход|Login
Авторизация|Authorization
Сервера|Server
Создать Игру|Create Game
Настроики|Settings
Авторы|Credits
  Название_сервера         Карта           Тип_Игры          Игроков        Пинг|  Server_Name              Map             Game_Type         Players        Ping
Соеденить|Connect
Список Серверов|Server List
Самый Быстрый|Vertex Lit
Разрешение екрана|Screen Resolution
Графика|Graphics
Качество графики|Graphics Quality
Полный Екран|Full Screen
Кровь|Blood
Атмосфера|Atmosphere
Тени|Shadows
Рендер|Render
Ефекты|Effects
Камера|Camera
Положение камеры Ось X|Camera X
Положение камеры Ось Y|Camera Y
Обзор камеры|Field of view
Скрывать стены|Near
Звук|Sound
Громкость музыки|Music volume
Громкость звука|Sound volume
Настройки|Settings
Ресет|Reset
Убил Игроков|Players killed
Убил Зомби|Zombies killed
Ранг|Rang
Друзья|Friends
Чат|Chat
Рейтинг|Rating
Ваш текуший ранк|Your current rank
Ваш следуйши ранк|Your next rank
Очки опыта|Score
Награды|Awards
Упорядочить по|Sort by
Красная Команда|Red Team
Синяя Команда|Blue Team
Игровое меню|Game Menu
Войти|Login
Зритель|Spectator
Фраг лимит|Frag Limit
Copyright PhysxWars Team\r\n\r\n\r\n:Programming:\r\nIgor Levochkin\r\n\r\n\r\n:Design:\r\nDead Firsache\r\nIgor Levochkin\r\n\r\n:Music producers:\r\nCentaSpike\r\nНикита Сафонов|
Внимание: вход в режиме ""Гостя"" лишает вас многих возможностей игры,таких как участия в рейтенге игроков и получение званий.\n\nДля входа введите свое Имя(Ник) в текстовую строку ""Name"" и нажмите кнопку ""Login"".|
1. Нажмите на кнопку: \n\n2. Скопируйте код из адресной строки открывшегося окна ""Login sucess""\n\n3. Вставьте скопированный текст сюда в строку ""адрес"" и нажмите кнопку ""Login"".|
Очки опыта выдаются за убийства других игроков и спиритов, за получение различных наград.\r\n|Experience points are awarded for killing other players and the spiritualists, for receiving various awards. \r\n
Зомби, выживание.\r\nУбейте максимальное количество зомби.|Zombie survival. \r\n kill the maximum number of zombies.
Командный бой С зомби.\r\nВыжившая команда выигрывает.|Team battle with zombies. \r\n surviving team wins.
Бой.\r\nУбейте максимальное количество игроков.|DeathMatch. \r\n kill the maximum number of players.
Командный бой.\r\nУбейте максимальное количество игроков.|Team battle. \r \n kill the maximum number of players.
