Игрок законектился |Player Connected
 Вышел из игры| Player Leaved
Синяя|Red
Красная|Blue
 команда Выграла| Team Win
Зомби|Zombie
Уровень|Level
Фраги |Frags
Очки |Score 
Демо|Demo
Город|City
Замедление времени, нажми Т чтобы использовать|Time Warp, Press T to use
Чтобы взять фанарик нажми F|Take SpotLight
Чтобы купить лазерный прицел нажми F|Take Laser aim
Чтобы использовать лавушку нажми F|Trap
Чтобы использовать лифт нажми F|elevator
Нажми F чтобы купить |Press F to buy
Ускоряет шар|Speed up
Нажми F чтобы взять деньги|Take money
Выбери гравипушку и стреляй по етому предмету|Jumper
Чтобы купить енергию нажми F|To buy energy press F
Ваш ник слишком короток|Your nick is to short
Название игры слишком короткое|Game name is to short
 Убил себя | Killed self 
 Убил | kill 
 Умер | died 
Вы умерли дожив до {0} раунда|You survived until {0} level.
Выбрать команду|Select Team
Ирк Чат|Irc Chat
Опции|Options
Выйти|Exit
       Имя_Игрока               Команда   Очки   Фраги Смерти  Фпс   Пинг|       Player Name              Team      Score  Frags Deaths  FPS   Ping
Таблиьа очков|Scores
Зомби Выживание|Zombie Survive
Зомби Командная игра|
Выживание|
Командная игра|
Название Сервера|
Порт|
Игроков|
Лимит Фрагов|
Лимит времени|
Создание Сервера|
Режим Игры|
Карта|
Создать|
Войти как гость|
Вход Вконтакте|
Имя|
Вход|
Авторизация|
Сервера|
Создать Игру|
Настроики|
Авторы|
  Название_сервера         Карта           Тип_Игры          Игроков        Пинг|
Соеденить|
Список Серверов|
Самый Быстрый|
Разрешение екрана|
Графика|
Качество графики|
Полный Екран|
Кровь|
Атмосфера|
Тени|
Рендер|
Ефекты|
Камера|
Положение камеры Ось X|
Положение камеры Ось Y|
Обзор камеры|
Скрывать стены|
Звук|
Громкость музыки|
Громкость звука|
Настройки|
Ресет|
Убил Игроков|
Убил Зомби|
Ранг|
Друзья|
Чат|
Рейтинг|
Ваш текуший ранк|
Ваш следуйши ранк|
Очки опыта|
Награды|
Упорядочить по|
Красная Команда|
Синяя Команда|
Игровое меню|
Войти|
Зритель|
Фраг лимит|
